run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
0,.0091972,-.0045928,-.0069835,-.0009935,-.0021408,.0017636,-.000459,.000228,.0001461,-.0000882,.0001435,-.0000658,-.0037497,-.0000955
1,.010817,-.0084209,-.0072397,-.0051028,-.0067436,.0088001,-.0005184,.0001928,.0002125,-.0000377,.0002078,-.0003354,-.00789,-.0002784
2,.00242,-.0107274,-.0069398,-.0029122,-.0039823,.0014068,-.0003153,.000385,.0001096,-.0001459,.0001376,-.0000718,-.0207349,.0000992
3,.0146786,-.0000464,-.0058213,-.0032179,-.0014675,.0006494,-.0005835,.000178,.0001318,-.0000207,.0002599,-.0000488,.0047749,-.0000834
4,.0101081,-.0033908,-.0078281,-.0027479,-.0012729,-.002871,-.0004209,.0001804,.0001845,.0000169,-.0000252,.0000761,-.0080028,.0000118
5,.0116801,-.0113337,-.0096335,-.007378,-.0053296,.0067086,-.0005928,.0003701,.0001701,.0001031,.0001557,-.0002645,-.0152862,-.0000583
6,.0095681,-.0068001,-.0056657,-.0006769,-.0064185,.0013626,-.0005583,.0001693,.0001113,-.0001629,.0003299,.0000278,-.0086305,-.0000828
7,.0112096,-.0079741,-.0083679,-.0032112,.0000647,.0069618,-.0004234,.0002429,.0001924,-.0000712,.000085,-.0002334,-.0013172,-.0002077
8,.0079126,-.0060282,-.0093612,-.007135,-.0021013,.007911,-.0003853,.0002395,.0002323,.0001019,.0001201,-.0003123,-.0088022,-3.72e-06
9,.0065197,-.0051162,-.0019816,-.0035962,-.0031172,.0000611,-.0004012,.0002462,.000057,9.10e-06,.0001191,-.0000121,-.0072304,.0000181
10,.0125852,-.0036818,-.0102565,-.0019361,.0016761,-.0049026,-.0005574,.0001366,.0002624,-.0000431,-7.82e-06,.0001885,-.0065157,-.0000207
11,.0109296,-.0011101,-.0023072,.0059742,-.0028583,-.0053519,-.0004588,.0001592,-.0000263,-.0003084,.0002551,.0001259,.0052763,-.0002533
12,.0111053,-.0036927,-.0022048,.0004008,-.0031131,-.0021549,-.0005055,.0002714,.0000978,-.0000449,.000173,.0000414,.0003407,.0000332
13,.0102453,-.0009914,-.0054888,.0007762,-.0024329,-.0025581,-.0004477,.0001101,.0002207,-.0002024,.000242,.000027,-.0004497,-.0000502
14,.0154217,-.0098742,-.0078537,.0024009,-.0025444,.004187,-.0007326,.000354,.000251,-.0002193,.0002503,-.0001401,.0017372,-.0002367
15,.0104744,-.0077324,-.0107575,.0020441,.001751,.0099404,-.000602,.0003963,.0001697,-.0002253,.0001993,-.000257,.00572,-.000319
16,.0184492,-.0022329,-.0031257,-.0061952,.0008941,.006992,-.0007274,.0001743,.0000393,.0000964,-.0000123,-.0001544,.0147815,-.000584
17,.008493,-.0051393,-.0108349,-.0048989,-.0056579,.0048731,-.0004886,.0002364,.0002198,-.0000303,.0003032,-.0001322,-.0131649,.0001083
18,.0118912,-.0056589,-.0099942,.00188,.0028201,.0052167,-.0004837,.0002483,.000288,-.0001946,.0000303,-.0001653,.006155,-.000277
19,.0141184,-.0105724,-.0046683,.0006858,.0014369,.0082669,-.0005722,.0004384,.000122,-.0002238,.0001364,-.0003107,.0092672,-.0004099
20,.0077936,-.0066028,-.00338,-.0010164,-.0026525,.00947,-.0004052,.0002898,.0000911,-.0001647,.0002103,-.0003022,.0036118,-.0002809
21,.0071137,-.0049032,-.0064859,.0000999,-.003446,.005618,-.0003552,.0003564,.0001597,-.0000109,.0002109,-.0001441,-.0020035,.0002169
22,.0116639,-.0070673,-.0043382,-.0035661,-.0020328,.0032809,-.0006152,.0003571,.0000844,-1.66e-06,.0001261,-.0000745,-.0020596,-.0001238
23,.0032306,-.0118642,-.0138371,.0021239,-.0076133,.0068605,-.000279,.0004212,.0003704,-.0001785,.0002113,-.0002308,-.0210996,.0003147
24,.0093745,-.0014123,-.0037291,-.0000295,-.0023533,-.0048956,-.0005352,.0001366,.0000919,-.000111,.0001686,.0001005,-.0030454,-.0001486
25,.0071011,-.005782,-.0038564,-.0065323,-.0025653,.0060154,-.0004629,.0003005,.0000669,.0001037,.0001936,-.00024,-.0056194,-.0000382
26,.0083103,-.0090197,-.0076178,-.0004017,-.0070135,-.0041303,-.0005777,.0004075,.0000335,-.0001068,.0002447,.0002718,-.0198725,.000273
27,.008814,-.0049419,-.0054037,-.0017208,-.0018804,.0049851,-.0004794,.0002323,.0000963,-.000025,.0001951,-.0001292,-.0001477,-.00011
