run,temp,temp2,prec,prec2
0,.0127184,-.0004871,.0000145,-4.75e-09
1,.0162499,-.000597,.0000348,-9.37e-09
2,.0090315,-.0004122,.0000267,-7.29e-09
3,.0194755,-.0006651,-8.70e-06,-6.94e-10
4,.0150065,-.0004859,.0000276,-8.51e-09
5,.0230057,-.0007897,.0000426,-1.10e-08
6,.0139467,-.0006125,4.37e-06,-2.78e-09
7,.0111793,-.0004096,.0000249,-8.77e-09
8,.0130302,-.0005043,.000012,-3.67e-09
9,.0104894,-.0004732,.0000137,-3.51e-09
10,.0136161,-.0005727,.0000134,-4.26e-09
11,.0157354,-.0004904,.0000168,-3.28e-09
12,.0138248,-.000494,5.69e-06,-1.40e-09
13,.0138043,-.0004388,.0000147,-5.81e-09
14,.0182201,-.0007328,.0000476,-1.36e-08
15,.015466,-.0006365,.0000353,-1.12e-08
16,.0222851,-.0007766,8.64e-06,-4.43e-09
17,.0137469,-.0005718,1.27e-06,-2.33e-09
18,.0157325,-.0005534,4.54e-06,-1.33e-09
19,.015896,-.0005748,.0000111,-2.79e-09
20,.0093325,-.0003534,.0000227,-7.15e-09
21,.0117903,-.0003803,1.22e-06,-3.51e-09
22,.01266,-.0005432,.0000392,-9.81e-09
23,.0086324,-.0003463,.0000204,-7.46e-09
24,.0145963,-.0005862,.0000145,-7.80e-09
25,.0098131,-.0004486,.0000178,-5.39e-09
26,.0143865,-.0006078,7.31e-07,-1.49e-09
27,.0103232,-.0004703,.0000116,-3.32e-09
28,.0129899,-.0004301,8.43e-06,-3.45e-09
29,.0126755,-.0004265,.0000119,-3.97e-09
30,.0206,-.0008711,9.49e-06,-4.37e-09
31,.0159818,-.0005253,.0000133,-5.73e-09
32,.0139906,-.0004842,.0000181,-6.47e-09
33,.0104037,-.0004494,.0000294,-7.99e-09
34,.0076742,-.0003216,.0000179,-5.15e-09
35,.0146955,-.0005887,7.93e-07,-1.61e-09
36,.0121452,-.000447,.0000117,-5.03e-09
37,.0154041,-.0005766,.0000104,-3.99e-09
38,.0100132,-.0002998,4.70e-06,-1.74e-09
39,.0158496,-.0006856,.0000179,-3.04e-09
40,.0083955,-.0003459,.0000457,-1.21e-08
41,.0172374,-.0006223,5.33e-06,-2.37e-10
42,.022944,-.0008208,.0000122,-5.60e-09
43,.0113457,-.0003833,.0000211,-7.63e-09
44,.0207696,-.0006911,.0000141,-4.19e-09
45,.0135752,-.000491,.0000151,-4.26e-09
46,.0168555,-.00049,.0000153,-4.83e-09
47,.0088929,-.0003078,.0000127,-4.88e-09
48,.0117586,-.0004533,.0000307,-1.08e-08
49,.0068738,-.0003708,.0000161,-4.43e-09
50,.0067961,-.0004105,.0000181,-4.98e-09
51,.0156604,-.0006007,.0000167,-5.96e-09
52,.0141629,-.0005061,.0000243,-7.64e-09
53,.0100324,-.0003966,9.89e-06,-2.84e-09
54,.0100915,-.0004378,.000015,-5.10e-09
55,.0071774,-.000271,.0000127,-5.24e-09
56,.0139605,-.0004837,5.60e-06,-2.30e-09
57,.0045708,-.0002985,.0000155,-5.06e-09
58,.0193719,-.0005572,.0000241,-8.72e-09
59,.0063821,-.000216,.0000158,-5.62e-09
60,.013707,-.0005783,3.25e-06,-3.22e-09
61,.0138838,-.0004525,.0000211,-6.39e-09
62,.0081833,-.0003246,.0000168,-5.83e-09
63,.013699,-.0005378,3.38e-06,-3.44e-09
64,.0181143,-.0005074,9.31e-06,-4.52e-09
65,.0140177,-.0005783,.0000127,-4.80e-09
66,.0144279,-.0005223,.0000158,-3.40e-09
67,.0121706,-.0004223,.0000141,-3.59e-09
68,.0147205,-.0005619,.0000292,-6.86e-09
69,.0084252,-.0004327,.0000214,-6.66e-09
70,.0113155,-.0004513,.0000276,-8.73e-09
71,.010696,-.0003819,.0000231,-5.99e-09
72,.0142798,-.0004312,6.13e-06,-2.60e-09
73,.0121488,-.000443,.0000318,-8.95e-09
74,.004534,-.0001752,7.02e-06,-2.41e-09
75,.012686,-.0004787,3.65e-06,-2.46e-09
76,.0187355,-.000678,.000014,-4.68e-09
77,.0106139,-.0004048,.0000158,-3.94e-09
78,.0125562,-.0005673,4.30e-06,-1.29e-09
79,.0142917,-.0005153,-5.57e-06,-9.17e-10
80,.0107736,-.0004107,.0000419,-1.38e-08
81,.0110912,-.0005497,.0000146,-4.34e-09
82,.0160496,-.000583,.0000311,-1.05e-08
83,.0200418,-.0006909,.0000362,-1.17e-08
84,.0192464,-.0008328,.0000147,-4.07e-09
85,.0075149,-.0003686,.0000182,-5.81e-09
86,.0139655,-.0004899,.0000311,-9.62e-09
87,.0114265,-.0005128,.0000221,-8.12e-09
88,.0154825,-.0005135,8.31e-06,-4.83e-09
89,.0123987,-.0004068,.0000238,-7.67e-09
90,.0216068,-.0007803,6.63e-06,-3.42e-09
91,.0140759,-.0004599,8.87e-06,-4.57e-09
92,.0162255,-.0005738,.000017,-7.74e-09
93,.0097663,-.0004156,.0000232,-5.89e-09
94,.0105222,-.0003654,.0000309,-8.18e-09
95,.0159475,-.0006588,.0000108,-2.76e-09
96,.010693,-.0004523,.0000102,-3.06e-09
97,.0107203,-.0003564,.0000177,-5.29e-09
98,.0096892,-.0004435,1.79e-06,-1.09e-09
99,.014133,-.000707,-2.83e-06,-6.75e-10
100,.0100481,-.0005014,.0000187,-3.23e-09
101,.0273827,-.0009448,4.97e-06,-3.13e-09
102,.0179674,-.0005383,.0000216,-7.59e-09
103,.0156686,-.0005433,-2.93e-06,-2.33e-09
104,.0136439,-.0005437,6.71e-06,-3.95e-09
105,.0097169,-.000458,.0000208,-6.61e-09
106,.0155854,-.0005988,4.34e-06,-2.98e-09
107,.0121761,-.0004749,.0000107,-3.42e-09
108,.0177595,-.0006865,-.0000202,6.01e-09
109,.0172832,-.0006111,.0000115,-1.13e-09
110,.0124291,-.0004449,-4.67e-06,-1.78e-09
111,.0113505,-.0004821,6.51e-06,-3.18e-09
112,.0165748,-.0006218,.000012,-4.84e-09
113,.0138183,-.0006071,4.73e-06,-1.28e-09
114,.0095395,-.0004009,.0000163,-5.88e-09
115,.0162442,-.0005643,.0000215,-8.52e-09
116,.0087413,-.000481,.0000101,-4.47e-09
117,.0122374,-.0003777,.0000381,-1.02e-08
118,.0148819,-.0005861,3.64e-07,-5.78e-10
119,.0160674,-.0005476,-2.55e-06,2.54e-11
120,.0091779,-.0003607,8.48e-06,-2.23e-09
121,.0096105,-.0003952,.0000208,-6.03e-09
122,.0149341,-.0005848,3.60e-06,-2.75e-09
123,.0189725,-.0006139,.0000211,-6.12e-09
124,.0093124,-.0003428,.0000383,-1.27e-08
125,.0146516,-.0006417,.0000314,-8.98e-09
126,.0119247,-.0004759,.000017,-2.54e-09
127,.0109939,-.0003852,5.71e-06,-2.99e-09
128,.0163369,-.0006931,9.74e-06,-4.29e-09
129,.0147718,-.0005855,.0000316,-6.56e-09
130,.0064402,-.0002753,.0000103,-5.15e-09
131,.0056326,-.000319,.0000147,-4.59e-09
132,.0136265,-.0004894,.0000197,-6.56e-09
133,.0127026,-.0005021,7.83e-06,-3.95e-09
134,.0067149,-.0003649,.0000224,-7.37e-09
135,.0107019,-.0005132,.0000234,-7.42e-09
136,.0054312,-.0002828,.0000122,-5.47e-09
137,.0135381,-.0005864,.0000182,-4.99e-09
138,.009457,-.0003632,.0000204,-6.15e-09
139,.0127592,-.0004809,.0000238,-6.19e-09
140,.0095375,-.000432,.0000125,-3.62e-09
141,.0117087,-.0004442,.0000362,-8.28e-09
142,.0133784,-.0004226,.0000123,-4.15e-09
143,.0082284,-.000484,.0000188,-4.29e-09
144,.0168118,-.0005816,.0000191,-5.81e-09
145,.0067425,-.000301,5.65e-06,-5.74e-09
146,.0129594,-.0004593,.0000208,-8.44e-09
147,.0134024,-.000465,.0000254,-5.78e-09
148,.0158665,-.0005578,.000016,-5.93e-09
149,.0072076,-.0001876,.0000174,-5.01e-09
150,.0141631,-.0005083,.0000163,-4.83e-09
151,.0157687,-.0004138,.0000175,-6.49e-09
152,.0090977,-.0004785,.0000266,-7.76e-09
153,.0146297,-.0004785,.0000139,-5.42e-09
154,.0148569,-.0005224,.0000131,-4.43e-09
155,.0097087,-.0003914,6.58e-06,-2.38e-09
156,.0109742,-.0003987,.0000265,-8.42e-09
157,.011376,-.0005143,5.77e-06,-3.73e-09
158,.0097734,-.000311,6.91e-06,-2.03e-09
159,.009461,-.0002822,.0000292,-8.86e-09
160,.006838,-.0002929,.0000163,-5.19e-09
161,.0170268,-.0006054,.0000148,-3.92e-09
162,.0121614,-.0003933,.0000113,-4.85e-09
163,.0144958,-.0005277,4.56e-06,-1.99e-09
164,.0182403,-.0007538,3.54e-06,-1.18e-09
165,.0112495,-.0003975,8.51e-06,-5.31e-09
166,.0106876,-.0003018,1.37e-06,-1.32e-09
167,.0113381,-.000494,.0000136,-4.77e-09
168,.0107693,-.0004587,1.80e-06,-1.90e-09
169,.0130175,-.0005684,6.45e-06,-2.90e-09
170,.0088139,-.0003702,.0000131,-4.70e-09
171,.0039583,-.0001463,7.96e-06,-4.18e-09
172,.0108038,-.0005,.0000276,-6.46e-09
173,.0136968,-.0005687,.0000223,-5.10e-09
174,.0090426,-.0004317,6.27e-06,-2.74e-09
175,.0172719,-.0006713,.0000111,-3.55e-09
176,.0173786,-.0006754,.0000178,-5.20e-09
177,.0188421,-.0006009,2.60e-06,-8.18e-10
178,.0184517,-.000629,.0000154,-4.76e-09
179,.0121104,-.0005097,9.80e-06,-1.68e-09
180,.0075787,-.0003658,5.53e-06,-3.70e-09
181,.0186965,-.0007542,.0000104,-3.71e-09
182,.0115112,-.0004439,.0000156,-5.67e-09
183,.0102931,-.0005226,.0000142,-5.27e-09
184,.0156934,-.0006126,.0000242,-6.63e-09
185,.0154384,-.0006428,3.13e-06,-3.46e-09
186,.0136644,-.0005339,.000013,-3.91e-09
187,.0135042,-.0005635,.0000193,-6.19e-09
188,.0111475,-.0004855,-6.62e-06,2.62e-10
189,.0224729,-.0007384,.0000278,-8.49e-09
190,.0101805,-.0004186,.0000154,-6.20e-09
191,.0116861,-.0005048,.0000144,-5.65e-09
192,.011627,-.00045,.0000306,-9.54e-09
193,.0144455,-.0005869,.0000155,-6.68e-09
194,.0155482,-.0006391,2.14e-06,-7.13e-10
195,.008312,-.000394,.000024,-7.10e-09
196,.0166378,-.0006382,.0000189,-5.19e-09
197,.0091935,-.0003325,.0000105,-3.78e-09
