run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
0,.0088951,.0254342,-.0003155,-.000772,6.72e-06,.0000258,-2.69e-09,-7.44e-09
1,.0109688,.0389122,-.0004339,-.0010646,.0000552,.0000151,-1.43e-08,-4.96e-09
2,.0059665,.0146053,-.0002674,-.0005337,.0000203,.0000384,-5.79e-09,-1.02e-08
3,.0176653,.0280179,-.0003815,-.0009604,-.0000332,2.94e-06,3.21e-09,-2.90e-09
4,.0100384,.0575052,-.000416,-.00134,.0000163,.0000527,-6.25e-09,-1.39e-08
5,.0141023,.0457539,-.0003674,-.0013674,.000038,.0000381,-1.13e-08,-8.87e-09
6,.0092824,.0373883,-.0004357,-.0011101,.0000107,8.30e-08,-2.22e-09,-2.81e-09
7,.0088906,.0137241,-.0002576,-.0004912,.0000179,.000031,-6.40e-09,-1.06e-08
8,.0082144,.0272155,-.000298,-.0008131,9.19e-06,.0000192,-1.58e-09,-6.37e-09
9,.0097068,.0010562,-.0003126,-.000318,-4.57e-06,.0000277,6.21e-10,-6.43e-09
10,.0103031,.014486,-.0003141,-.0006738,.0000148,.0000133,-4.71e-09,-4.12e-09
11,.0083486,.0672824,-.0002662,-.001599,9.81e-06,.0000329,-1.43e-09,-6.87e-09
12,.010632,.0655095,-.0003893,-.001564,1.53e-07,.0000375,2.12e-09,-1.17e-08
13,.0081088,.0573862,-.0002243,-.0013421,-.0000203,.0000344,7.73e-09,-1.21e-08
14,.0118891,.0454658,-.0004434,-.0013638,.0000463,.0000512,-1.29e-08,-1.47e-08
15,.0123083,.0166124,-.000443,-.0007066,.0000378,.0000292,-1.17e-08,-9.86e-09
16,.018131,.0553292,-.0006268,-.0014403,-8.29e-06,.000044,3.05e-10,-1.33e-08
17,.0094285,.042043,-.0004104,-.0012046,-.000011,.0000154,2.90e-09,-6.90e-09
18,.0089011,.0403401,-.0002477,-.0011112,2.45e-06,8.67e-06,-8.57e-10,-2.33e-09
19,.0104566,.0325998,-.0003571,-.0009863,-8.56e-06,.0000287,-5.98e-10,-5.17e-09
20,.0094425,.0152225,-.0003932,-.0004346,.0000231,.0000221,-6.68e-09,-7.35e-09
21,.0039848,.0357195,-.0000707,-.0009447,2.06e-06,6.43e-06,-2.52e-09,-5.43e-09
22,.0110139,.0236911,-.0004153,-.0007968,.0000262,.0000529,-7.76e-09,-1.25e-08
23,.0062785,.0172317,-.0002654,-.0005272,.0000292,.0000157,-8.05e-09,-7.00e-09
24,.017001,.0195114,-.0007066,-.0006578,6.54e-06,.0000231,-6.74e-09,-9.52e-09
25,.0050046,.0298088,-.0001068,-.0009224,.0000143,.0000149,-6.89e-09,-3.93e-09
26,.0167768,.0211449,-.0008188,-.000675,-.0000202,.0000209,1.93e-09,-5.75e-09
27,.0060909,.0139003,-.0002586,-.0005948,3.29e-06,.0000208,-2.65e-09,-4.79e-09
28,.0083053,.026704,-.0002592,-.0007328,.0000133,.000015,-5.39e-09,-4.46e-09
