run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
0,.0098838,-.0019212,-.0089955,-.0008384,-.0059216,-.0244474,-.0034452,.0044976,.0002397,-.0027357,.0055469,.0068451,-.0004408,-.0002106,.0003598,.0001585,.0001785,.0004557,.0000125,-.0002388,5.56e-06,.0001995,-.0001374,-.000213,-.0026918,-.0186,-.000022,.0001513
1,.0112023,.0102473,-.0068204,-.0164226,-.01203,-.000704,-.0032249,-.019555,-.0097096,.0125384,.0051072,.0049259,-.0005198,-.0004807,.0000755,.0004276,.0004265,-8.32e-06,-.0000776,.0002351,.0002716,-.0002,-.0000626,-.0003259,-.0154753,-.0089701,.0001136,-.0003523
2,.004656,-.0233258,-.013873,-.0232074,-.0111683,-.0097252,-.0049219,-.0027318,-.003821,.00747,.0072477,-.0104473,-.0003806,.0002526,.0004916,.0006458,.0003884,.0000612,-.0000433,-.0001972,.0001143,-.0001245,-.0001463,.0001161,-.0218804,-.0619674,.0004242,.000754
3,.01817,.0108816,-.0050683,-.006223,-.0030252,-.0141512,-.0033784,-.0090882,.0051108,-.0041785,.0050093,.0096463,-.0004878,-.0005895,.000428,.0002104,.0000742,.000282,.0000238,.0000917,-.0001336,.0004827,-.0001346,-.000307,.0168181,-.0131131,-.00023,.0001704
4,.0090877,.0135552,-.0092789,.004518,-.0091112,-.0123336,-.0086498,-.0031127,.0032441,.0070432,.0028376,.0032287,-.0004874,-.0004386,.0003035,.0000973,.0002287,.0002459,.0002311,-.0000243,-.0004187,-.0000574,-.000017,-.000178,-.0118705,.0128988,-.0001598,-.0003552
5,.0084438,.0169731,-.0151967,.0014652,-.0113195,-.0211214,-.0062501,-.0158458,.0007448,-.0094882,.0123377,-.0074191,-.0004036,-.0007418,.000513,.0000568,.00031,.0003539,.0000702,.0002729,-.0002065,.0003542,-.0005407,.0001311,-.01124,-.0354362,-.0002575,.0004271
6,.012493,-.0026129,-.0111676,-.008913,-.0058191,-.0291396,-.0000375,-.0000453,-.0013903,-.0144157,.0060083,.0116939,-.0006387,-.0002523,.0003392,.0001777,.0002509,.0005169,-.0001784,-.0002184,.0000954,.000548,-.000145,-.0001691,.0000867,-.0434326,-.0002766,.0006028
7,.0102367,-.0051229,-.0113519,-.0058798,-.0119377,.0085326,-.0030189,-.0056118,.0022626,.0268948,.0136616,-.0067529,-.0002892,-.0000954,.000315,.0002216,.0003687,-.0002101,-.0001199,-.0000152,-.0000804,-.0004245,-.0004225,.000036,-.0001476,.01206,-.0002284,-.0004875
8,.0079586,.0031933,-.0079016,-.0053589,-.006381,-.0247893,-.0083912,-.0060179,.0009435,-.0017153,.0044831,.0124804,-.000334,-.0002596,.0003219,.0001725,.0001393,.0005566,.0001832,.0000142,-.0001007,.0001922,-.0001018,-.0004698,-.0092885,-.0222077,.0001078,.000206
9,.0067834,-.0137552,-.0079392,-.0054277,-.0013812,-.0075699,-.0075462,.0043083,-.0043539,.0136859,.0039048,.0010772,-.0002964,.0000463,.0002965,.0002565,.0000549,.0001516,.0001773,-.0001927,.0001202,-.0002172,-.0001002,-.0000597,-.0105323,-.0076815,.0002522,-.0000152
