Model,Scenario,whose,prtp,eta,scc
IMAGE,SSP1-19,independent,0.0,1.0,128.4120109821756
IMAGE,SSP1-19,independent,0.0,2.0,34.01163396711139
IMAGE,SSP1-19,average,0.0,1.0,1009.1268927847334
IMAGE,SSP1-19,average,0.0,2.0,5996.507502952884
IMAGE,SSP1-19,poorest,0.0,1.0,5.264089182889579
IMAGE,SSP1-19,poorest,0.0,2.0,0.1631748785038764
IMAGE,SSP1-19,independent,0.01,1.0,53.04351951701705
IMAGE,SSP1-19,independent,0.01,2.0,18.652581897387797
IMAGE,SSP1-19,average,0.01,1.0,404.66131432600594
IMAGE,SSP1-19,average,0.01,2.0,3380.5022018912255
IMAGE,SSP1-19,poorest,0.01,1.0,2.110907223569371
IMAGE,SSP1-19,poorest,0.01,2.0,0.09198905126093053
IMAGE,SSP1-19,independent,0.02,1.0,27.641199734546348
IMAGE,SSP1-19,independent,0.02,2.0,12.08863302646599
IMAGE,SSP1-19,average,0.02,1.0,204.93838308621514
IMAGE,SSP1-19,average,0.02,2.0,2224.2260173759346
IMAGE,SSP1-19,poorest,0.02,1.0,1.0690567591415463
IMAGE,SSP1-19,poorest,0.02,2.0,0.06052486551075876
GCAM4,SSP4-34,independent,0.0,1.0,139.5243431967348
GCAM4,SSP4-34,independent,0.0,2.0,37.30242906034965
GCAM4,SSP4-34,average,0.0,1.0,1049.1847033009847
GCAM4,SSP4-34,average,0.0,2.0,6154.262002785579
GCAM4,SSP4-34,poorest,0.0,1.0,5.469819265015127
GCAM4,SSP4-34,poorest,0.0,2.0,0.1672699912266543
GCAM4,SSP4-34,independent,0.01,1.0,57.14396314841587
GCAM4,SSP4-34,independent,0.01,2.0,19.97351011619868
GCAM4,SSP4-34,average,0.01,1.0,420.363396113605
GCAM4,SSP4-34,average,0.01,2.0,3442.6557748010937
GCAM4,SSP4-34,poorest,0.01,1.0,2.191522422253393
GCAM4,SSP4-34,poorest,0.01,2.0,0.09356978968180485
GCAM4,SSP4-34,independent,0.02,1.0,29.433234455223175
GCAM4,SSP4-34,independent,0.02,2.0,12.700742752996197
GCAM4,SSP4-34,average,0.02,1.0,211.90182288779496
GCAM4,SSP4-34,average,0.02,2.0,2247.7743720241483
GCAM4,SSP4-34,poorest,0.02,1.0,1.104728909482564
GCAM4,SSP4-34,poorest,0.02,2.0,0.06109346649814339
MESSAGE-GLOBIOM,SSP2-45,independent,0.0,1.0,145.5618286310864
MESSAGE-GLOBIOM,SSP2-45,independent,0.0,2.0,38.93849818808677
MESSAGE-GLOBIOM,SSP2-45,average,0.0,1.0,1062.131930324982
MESSAGE-GLOBIOM,SSP2-45,average,0.0,2.0,6157.815548197827
MESSAGE-GLOBIOM,SSP2-45,poorest,0.0,1.0,5.536892968409744
MESSAGE-GLOBIOM,SSP2-45,poorest,0.0,2.0,0.167340862344101
MESSAGE-GLOBIOM,SSP2-45,independent,0.01,1.0,59.067263350302795
MESSAGE-GLOBIOM,SSP2-45,independent,0.01,2.0,20.530891468862723
MESSAGE-GLOBIOM,SSP2-45,average,0.01,1.0,423.92271572035764
MESSAGE-GLOBIOM,SSP2-45,average,0.01,2.0,3430.747674244995
MESSAGE-GLOBIOM,SSP2-45,poorest,0.01,1.0,2.2099088039873074
MESSAGE-GLOBIOM,SSP2-45,poorest,0.01,2.0,0.09323180757845143
MESSAGE-GLOBIOM,SSP2-45,independent,0.02,1.0,30.19911157573723
MESSAGE-GLOBIOM,SSP2-45,independent,0.02,2.0,12.928234523263706
MESSAGE-GLOBIOM,SSP2-45,average,0.02,1.0,213.19905792168842
MESSAGE-GLOBIOM,SSP2-45,average,0.02,2.0,2235.514275808416
MESSAGE-GLOBIOM,SSP2-45,poorest,0.02,1.0,1.111406531500274
MESSAGE-GLOBIOM,SSP2-45,poorest,0.02,2.0,0.06075090813751517
AIM/CGE,SSP3-60,independent,0.0,1.0,157.57425067639295
AIM/CGE,SSP3-60,independent,0.0,2.0,41.08262444193972
AIM/CGE,SSP3-60,average,0.0,1.0,1148.7690548742587
AIM/CGE,SSP3-60,average,0.0,2.0,6430.130087940056
AIM/CGE,SSP3-60,poorest,0.0,1.0,5.988183324682148
AIM/CGE,SSP3-60,poorest,0.0,2.0,0.17472074704991172
AIM/CGE,SSP3-60,independent,0.01,1.0,62.10203221412906
AIM/CGE,SSP3-60,independent,0.01,2.0,21.12937951740342
AIM/CGE,SSP3-60,average,0.01,1.0,444.8861556990816
AIM/CGE,SSP3-60,average,0.01,2.0,3498.48150925602
AIM/CGE,SSP3-60,poorest,0.01,1.0,2.319056078012814
AIM/CGE,SSP3-60,poorest,0.01,2.0,0.09506142091649902
